state,district,origin_of_challenge,date_of_challenge_removal,type_of_ban,author,title,secondary_author_s,illustrator_s,translator_s
Alaska,Anchorage School District,Administrator,2021-10-01T00:00:00Z,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,NA,NA,NA
Arkansas,Siloam Springs School District,Formal Challenge,2022-01-01T00:00:00Z,Banned in Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Mist and Fury (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A ​Court of Silver Flames (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Thorns and Roses (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",A Court of Wings and Ruin (A Court of Thorns and Roses Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Johnson, George M.",All Boys Aren't Blue,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Reed, Amy",Beautiful,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Niven, Jennifer",Breathless,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",Damsel,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",Empire of Storms (Throne of Glass Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Blume, Judy",Forever...,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2021-11-01T00:00:00Z,Banned in Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",House of Earth and Blood (Crescent City Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Maas, Sarah J.",House of Sky and Breath (Crescent City Series),NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",Infandous,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Scheeres, Julia",Jesus Land: A Memoir,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Lo, Malinda",Last Night at the Telegraph Club,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Scott, Elizabeth",Living Dead Girl,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Sebold, Alice",Lucky,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Kaur, Rupi",Milk and Honey,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Jackson, Tiffany D.",Monday's Not Coming,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Rooney, Sally",Normal People,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Smyth, Ciara",Not My Problem,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Pérez, Ashley Hope",Out of Darkness,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Hopkins, Ellen",People Kill People,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,Sapphire,Push,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Arnold, Elana K.",Red Hood,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-05-01T00:00:00Z,Banned Pending Investigation,"Vonnegut Jr., Kurt",Slaughterhouse-Five,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"McCormick, Patricia",Sold,NA,NA,NA
Florida,Brevard Public Schools,Administrator,2022-03-01T00:00:00Z,Banned Pending Investigation,"Andrews, Jesse",The Haters,NA,NA,NA
